N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
27,한국전력,"21,400",550,-2.51%,"5,000","137,380","641,964",14.51,"1,354,063",-12.61,2.91,
28,삼성생명,"66,500","1,100",-1.63%,500,"133,000","200,000",12.56,"473,699",8.50,3.53,
29,LG,"82,000",600,-0.73%,"5,000","128,987","157,301",36.22,"253,972",5.41,7.50,
30,엔씨소프트,"583,000","22,000",-3.64%,500,"127,992","21,954",44.13,"231,561",35.99,20.83,
31,HMM,"25,200","1,050",-4.00%,"5,000","123,238","489,039",10.44,"2,704,198",3.17,8.93,
32,SK텔레콤,"56,300",0,0.00%,100,"123,203","218,833",44.81,"626,603",8.73,6.44,
33,하이브,"284,000","7,500",-2.57%,500,"117,444","41,353",16.42,"281,203",101.03,12.52,
34,삼성에스디에스,"150,500","2,500",-1.63%,500,"116,454","77,378",11.30,"75,281",17.14,6.71,
35,우리금융지주,"15,000",0,0.00%,"5,000","109,209","728,061",30.99,"4,591,811",4.59,5.87,
36,KT&G,"78,700",300,-0.38%,"5,000","108,049","137,292",35.55,"208,754",9.07,13.22,
37,SK아이이테크놀로지,"150,500","5,000",-3.22%,"1,000","107,303","71,298",11.33,"214,505",98.95,11.00,
38,S-Oil,"94,700",600,-0.63%,"2,500","106,616","112,583",77.98,"184,428",9.12,-13.07,
39,두산중공업,"20,150",550,-2.66%,"5,000","104,999","521,084",8.66,"3,245,642",59.79,-37.20,
40,삼성화재,"217,500","1,000",+0.46%,500,"103,040","47,375",48.35,"80,827",9.40,4.96,
41,고려아연,"546,000","5,000",-0.91%,"5,000","103,030","18,870",18.40,"42,909",13.65,8.37,
42,포스코케미칼,"130,000","2,000",-1.52%,500,"100,702","77,463",6.52,"166,153",72.59,2.96,
43,대한항공,"28,900",100,+0.35%,"5,000","100,520","347,821",11.92,"1,426,414",13.57,-7.22,
44,넷마블,"110,500","2,000",-1.78%,100,"94,979","85,954",22.64,"119,915",40.87,6.35,
45,현대중공업,"106,000",500,+0.47%,"5,000","94,100","88,773",2.24,"447,109",-11.57,-7.86,
46,LG이노텍,"384,500","32,000",+9.08%,"5,000","91,000","23,667",25.49,"1,722,790",12.18,10.20,
47,아모레퍼시픽,"152,000","1,500",-0.98%,500,"88,909","58,493",29.83,"130,597",58.62,0.78,
48,LG디스플레이,"24,050",100,-0.41%,"5,000","86,055","357,816",18.24,"4,265,821",5.45,-0.79,
49,SK스퀘어,"59,000","1,000",+1.72%,100,"83,466","141,468",37.32,"1,407,217",N/A,N/A,
50,KT,"31,200",100,-0.32%,"5,000","81,467","261,112",43.75,"724,763",7.97,4.76,
51,기업은행,"10,800",50,+0.47%,"5,000","80,384","744,301",13.09,"1,485,823",4.00,6.44,
52,한화솔루션,"39,100",300,-0.76%,"5,000","74,790","191,278",18.17,"837,127",9.99,5.30,
53,롯데케미칼,"216,500","5,500",-2.48%,"5,000","74,206","34,275",25.04,"96,717",5.45,1.22,
54,SK바이오팜,"91,800",900,-0.97%,500,"71,892","78,313",5.93,"163,281",-177.91,-135.18,
55,F&F,"908,000",0,0.00%,500,"69,566","7,661",14.64,"14,779",N/A,N/A,
56,메리츠금융지주,"51,900","1,800",-3.35%,500,"69,552","134,011",9.00,"1,272,254",9.78,16.06,
57,한국조선해양,"97,300","1,600",-1.62%,"5,000","68,862","70,773",20.28,"406,499",-5.34,-7.42,
58,한온시스템,"12,400",200,-1.59%,100,"66,191","533,800",17.55,"1,073,334",22.63,5.09,
59,현대글로비스,"173,500","1,500",-0.86%,500,"65,062","37,500",42.79,"86,778",9.35,12.45,
60,현대제철,"44,850","1,300",-2.82%,"5,000","59,850","133,446",20.60,"581,981",6.87,-2.59,
61,SKC,"157,000","5,000",-3.09%,"5,000","59,453","37,868",16.74,"170,402",31.98,2.21,
62,LG유플러스,"13,450",150,-1.10%,"5,000","58,724","436,611",35.38,"1,282,354",14.96,6.46,
63,CJ제일제당,"376,500","3,500",-0.92%,"5,000","56,679","15,054",22.40,"30,757",12.84,13.50,
64,KODEX 200,"39,105",615,-1.55%,0,"56,546","144,600",9.18,"2,984,219",N/A,N/A,
65,맥쿼리인프라,"13,850",50,+0.36%,0,"56,071","404,846",13.59,"711,820",N/A,N/A,
66,메리츠화재,"46,100","1,850",-3.86%,500,"55,608","120,625",11.00,"1,075,812",9.57,16.91,
67,미래에셋증권,"8,640",130,-1.48%,"5,000","54,891","635,316",12.75,"956,289",5.91,8.94,
68,강원랜드,"25,400",50,-0.20%,500,"54,341","213,940",18.92,"600,559",-164.94,-7.92,
69,코웨이,"73,300","1,800",-2.40%,500,"54,095","73,800",60.56,"105,508",12.14,31.51,
70,금호석유,"174,000","2,500",+1.46%,"5,000","52,715","30,296",19.25,"224,013",3.11,20.18,
71,일진머티리얼즈,"112,000","1,500",-1.32%,500,"51,644","46,111",12.73,"135,947",81.28,7.23,
72,에스디바이오센서,"48,400","2,500",-4.91%,500,"49,983","103,271",7.23,"561,516",7.34,139.97,
73,현대건설,"44,850","1,000",-2.18%,"5,000","49,943","111,356",22.26,"741,315",29.82,1.84,
74,삼성중공업,"5,670",70,-1.22%,"1,000","49,896","880,000",14.39,"3,614,448",-2.31,-33.06,
75,한국타이어앤테크놀로지,"39,650",550,-1.37%,500,"49,116","123,875",41.39,"128,016",7.44,5.12,
76,삼성엔지니어링,"23,550",800,-3.29%,"5,000","46,158","196,000",35.62,"993,962",13.03,17.32,
77,DB손해보험,"64,600",400,-0.62%,500,"45,737","70,800",42.82,"128,872",5.74,9.08,
78,한국금융지주,"79,600","2,000",-2.45%,"5,000","44,358","55,726",34.68,"165,176",2.72,16.27,
79,메리츠증권,"6,390",120,-1.84%,"1,000","43,563","681,731",13.03,"6,057,294",6.49,13.08,
80,유한양행,"61,000",700,-1.13%,"1,000","42,684","69,973",17.03,"152,363",46.25,11.06,
81,현대중공업지주,"53,600","1,000",-1.83%,"1,000","42,340","78,993",16.61,"140,411",-12.42,-8.12,
82,오리온,"106,000","1,000",-0.93%,500,"41,908","39,536",37.37,"59,194",17.63,15.50,
83,두산밥캣,"40,700","2,350",-5.46%,500,"40,801","100,249",25.12,"270,752",11.14,6.15,
84,쌍용C&E,"8,020",100,-1.23%,100,"40,410","503,860",3.42,"618,795",19.61,7.92,
85,이마트,"144,500","3,500",-2.36%,"5,000","40,281","27,876",33.57,"83,147",2.91,4.05,
86,한진칼,"57,200",800,+1.42%,"2,500","38,175","66,739",14.56,"81,579",-65.15,-19.55,
87,삼성증권,"42,550",800,-1.85%,"5,000","37,997","89,300",29.28,"337,316",4.01,9.89,
88,현대차2우B,"103,500",0,0.00%,"5,000","37,762","36,485",62.08,"43,731",5.24,N/A,
89,DB하이텍,"84,500","2,300",+2.80%,"5,000","37,517","44,399",25.55,"1,520,684",17.65,23.07,
90,현대오토에버,"136,500","8,000",+6.23%,500,"37,434","27,424",2.16,"205,506",49.55,11.09,
91,GS,"39,900",400,-0.99%,"5,000","37,073","92,915",18.82,"153,463",3.62,-2.82,
92,GS건설,"43,000","1,500",-3.37%,"5,000","36,800","85,581",25.94,"601,497",10.47,7.68,
93,삼성카드,"31,150",400,-1.27%,"5,000","36,090","115,859",7.07,"129,605",7.68,5.69,
94,NH투자증권,"12,050",150,-1.23%,"5,000","35,793","297,034",17.43,"433,482",4.42,10.32,
95,한국항공우주,"35,750",900,+2.58%,"5,000","34,847","97,475",13.32,"1,612,318",243.20,6.39,
96,한국가스공사,"37,000","1,800",-4.64%,"5,000","34,156","92,313",10.52,"551,327",7.69,-2.24,
97,아모레G,"41,350","1,250",-2.93%,500,"34,096","82,458",15.89,"95,579",23.22,0.31,
98,한미사이언스,"49,850",850,-1.68%,500,"33,551","67,305",1.14,"63,288",63.18,3.47,
99,KCC,"374,500",500,+0.13%,"5,000","33,280","8,886",12.07,"59,826",4.73,12.79,
100,한화시스템,"17,350",0,0.00%,"5,000","32,778","188,919",2.20,"948,708",21.03,9.35,
101,TIGER 차이나전기차SOLACTIVE,"16,500",130,+0.79%,0,"32,657","197,920",0.14,"2,987,683",N/A,N/A,
102,현대미포조선,"80,700",400,-0.49%,"5,000","32,233","39,942",11.48,"341,293",-20.97,-0.84,
103,한미약품,"264,000","4,000",-1.49%,"2,500","31,887","12,078",13.31,"22,427",42.05,1.65,
104,GS리테일,"29,050",700,-2.35%,"1,000","30,421","104,718",8.18,"210,298",2.93,7.50,
105,호텔신라,"77,400","1,100",-1.40%,"5,000","30,378","39,248",12.90,"344,524",-29.71,-36.74,
106,롯데지주,"28,900",200,-0.69%,200,"30,319","104,909",7.73,"139,946",15.06,-3.03,
107,한솔케미칼,"264,000","9,500",-3.47%,"5,000","29,925","11,335",42.83,"97,343",20.60,24.50,
108,동서,"29,700",250,-0.83%,500,"29,611","99,700",2.84,"73,576",27.89,8.61,
109,한전기술,"77,000",200,-0.26%,200,"29,429","38,220",1.48,"287,906",289.47,N/A,
110,BNK금융지주,"8,870",50,-0.56%,"5,000","28,910","325,935",39.74,"1,386,540",3.55,6.11,
111,팬오션,"5,390",270,-4.77%,"1,000","28,813","534,570",11.34,"4,026,807",9.26,3.25,
112,CJ대한통운,"124,500","3,500",-2.73%,"5,000","28,401","22,812",21.23,"36,881",96.44,3.89,
113,한화생명,"3,270",90,-2.68%,"5,000","28,401","868,530",8.13,"3,400,305",3.71,1.90,
114,포스코인터내셔널,"22,850","1,000",-4.19%,"5,000","28,191","123,375",7.12,"973,493",9.24,7.69,
115,에스원,"72,100",900,-1.23%,500,"27,397","37,999",53.01,"50,685",18.02,10.48,
116,만도,"58,200",600,-1.02%,"1,000","27,329","46,957",20.36,"465,269",12.26,0.37,
117,대우조선해양,"25,250",0,0.00%,"5,000","27,091","107,291",5.44,"682,436",-1.83,2.27,
118,두산퓨얼셀,"41,100","1,150",-2.72%,100,"26,918","65,494",13.99,"485,353",822.00,4.18,
119,한화에어로스페이스,"52,900",400,+0.76%,"5,000","26,783","50,630",17.02,"461,070",9.60,4.78,
120,키움증권,"102,000",500,-0.49%,"5,000","26,744","26,220",25.69,"77,430",2.93,27.63,
121,씨에스윈드,"62,100","1,900",-2.97%,500,"26,188","42,171",11.25,"164,671",56.35,8.19,
122,제일기획,"22,600",450,-1.95%,200,"25,999","115,041",31.92,"184,270",13.32,16.11,
123,SK케미칼,"147,000","2,000",-1.34%,"5,000","25,903","17,621",17.18,"63,064",70.07,30.49,
124,솔루스첨단소재,"81,500","1,700",+2.13%,100,"24,931","30,590",7.60,"275,095",-320.87,-5.10,
125,LG화학우,"324,000","13,000",-3.86%,"5,000","24,912","7,689",70.78,"26,725",8.44,N/A,
126,BGF리테일,"144,000","2,000",-1.37%,"1,000","24,889","17,284",32.40,"41,245",18.02,18.60,
127,대우건설,"5,960",130,-2.13%,"5,000","24,771","415,623",11.23,"1,563,066",5.06,11.06,
128,DL이앤씨,"127,500",500,-0.39%,"5,000","24,682","19,359",25.65,"118,339",N/A,N/A,
129,현대로템,"22,450",0,0.00%,"5,000","24,502","109,142",3.81,"890,963",78.22,2.84,
130,현대차우,"100,500",0,0.00%,"5,000","24,478","24,357",57.93,"36,289",5.09,N/A,
131,롯데쇼핑,"85,900","2,000",-2.28%,"5,000","24,300","28,289",11.22,"69,208",-9.13,-7.70,
132,한화,"31,950",150,-0.47%,"5,000","23,949","74,959",16.22,"214,103",5.40,4.79,
133,효성첨단소재,"533,000","8,000",-1.48%,"5,000","23,878","4,480",9.94,"36,792",11.12,0.03,
134,녹십자,"204,000","2,500",-1.21%,"5,000","23,841","11,687",22.82,"29,189",27.64,7.48,
135,신세계,"242,000","5,500",-2.22%,"5,000","23,825","9,845",23.99,"55,227",9.10,-2.81,
136,CJ,"81,300","1,600",-1.93%,"5,000","23,721","29,177",17.10,"43,101",70.45,1.89,
137,현대해상,"26,400",350,-1.31%,500,"23,602","89,400",26.00,"538,142",6.17,7.13,
138,후성,"24,950",400,+1.63%,500,"23,105","92,607",8.36,"2,404,132",84.01,2.79,
139,효성티앤씨,"529,000","2,000",-0.38%,"5,000","22,893","4,328",17.06,"42,163",3.24,25.10,
140,OCI,"94,500","8,000",-7.80%,"5,000","22,538","23,849",15.50,"1,194,396",11.27,-9.89,
141,KODEX 200선물인버스2X,"2,235",65,+3.00%,0,"22,068","987,400",4.71,"168,895,595",N/A,N/A,
142,KODEX MSCI Korea TR,"12,615",205,-1.60%,0,"22,038","174,700",3.27,"796,747",N/A,N/A,
143,하이트진로,"30,900",550,-1.75%,"5,000","21,671","70,134",4.10,"200,723",42.10,8.23,
144,TIGER 200,"39,155",615,-1.55%,0,"21,163","54,050",0.89,"974,068",N/A,N/A,
145,영원무역,"47,600",150,-0.31%,500,"21,092","44,311",28.06,"132,822",9.15,8.03,
146,현대위아,"75,300","1,200",-1.57%,"5,000","20,478","27,195",6.31,"265,977",56.11,1.96,
147,한샘,"84,900","1,800",-2.08%,"1,000","19,980","23,534",16.07,"105,017",24.98,10.83,
148,휠라홀딩스,"32,350",550,-1.67%,"1,000","19,653","60,752",43.57,"317,921",8.36,10.94,
149,더존비즈온,"63,600","3,100",-4.65%,500,"19,323","30,383",39.69,"181,239",31.13,15.09,
150,대웅,"33,150","3,550",+11.99%,500,"19,274","58,142",4.41,"3,225,766",18.25,15.10,
151,농심,"315,000","4,000",-1.25%,"5,000","19,160","6,083",12.73,"10,993",17.95,7.50,
152,효성,"90,700",900,-0.98%,"5,000","19,111","21,071",8.19,"34,612",4.94,-2.26,
153,롯데정밀화학,"73,800",500,-0.67%,"5,000","19,040","25,800",22.39,"89,460",4.47,12.65,
154,일진하이솔루스,"51,900","1,300",-2.44%,500,"18,847","36,313",3.07,"94,872",96.83,34.27,
155,두산,"112,500",500,+0.45%,"5,000","18,589","16,524",10.15,"33,868",-64.80,-34.34,
156,코오롱인더,"67,400","1,600",-2.32%,"5,000","18,548","27,519",19.56,"148,515",10.46,9.70,
157,대웅제약,"160,000","21,000",+15.11%,"2,500","18,539","11,587",6.45,"1,272,094",160.64,2.38,
158,한미반도체,"37,150","1,200",+3.34%,200,"18,374","49,460",6.35,"1,277,354",22.09,21.03,
159,LS,"57,000",200,-0.35%,"5,000","18,354","32,200",13.98,"195,286",7.16,3.94,
160,TIGER 미국나스닥100,"82,605","2,060",-2.43%,0,"18,330","22,190",0.00,"312,718",N/A,N/A,
161,TIGER MSCI Korea TR,"15,900",185,-1.15%,0,"17,856","112,300",14.25,445,N/A,N/A,
162,KODEX 레버리지,"22,930",725,-3.06%,0,"17,473","76,200",3.43,"19,840,794",N/A,N/A,
163,현대백화점,"74,000",600,-0.80%,"5,000","17,318","23,402",18.11,"54,445",11.19,1.65,
164,JB금융지주,"8,680",100,-1.14%,"5,000","17,098","196,983",42.16,"507,877",3.58,10.06,
165,동국제강,"17,500",350,-1.96%,"5,000","16,701","95,433",22.51,"609,821",3.70,3.35,
166,LS ELECTRIC,"55,500","1,500",-2.63%,"5,000","16,650","30,000",18.00,"112,541",20.55,6.15,
167,DGB금융지주,"9,770",100,+1.03%,"5,000","16,526","169,146",48.90,"626,104",3.49,6.93,
168,KODEX 단기채권,"103,130",10,-0.01%,0,"16,394","15,896",0.00,"12,604",N/A,N/A,
169,현대엘리베이,"39,950",750,-1.84%,"5,000","16,306","40,815",28.60,"106,388",25.74,9.78,
170,한전KPS,"35,850",450,+1.27%,200,"16,132","45,000",6.94,"177,469",13.35,8.23,
171,오뚜기,"438,500","13,000",-2.88%,"5,000","16,102","3,672",11.63,"6,991",14.56,7.93,
172,동원시스템즈,"54,800",100,-0.18%,"5,000","15,995","29,188",13.24,"59,382",24.82,10.97,
173,LIG넥스원,"71,500",500,-0.69%,"5,000","15,730","22,000",6.98,"382,697",16.67,8.86,
174,KODEX 삼성그룹,"9,780",115,-1.16%,0,"15,697","160,500",0.20,"127,238",N/A,N/A,
175,PI첨단소재,"53,100","1,000",+1.92%,500,"15,594","29,366",12.83,"147,620",26.66,15.62,
176,케이카,"31,650",650,+2.10%,500,"15,219","48,087",18.15,"378,140",52.57,15.11,
177,명신산업,"28,450",550,-1.90%,500,"14,928","52,470",2.59,"340,467",-12.34,-67.39,
178,대한전선,"1,715",105,-5.77%,500,"14,689","856,473",2.71,"11,652,922",43.97,0.92,
179,아이에스동서,"47,200",700,-1.46%,500,"14,581","30,893",5.05,"95,094",27.03,10.92,
180,한일시멘트,"21,000",650,-3.00%,500,"14,545","69,262",2.87,"361,356",13.83,N/A,
181,KODEX 종합채권(AA-이상)액티브,"107,550",150,-0.14%,0,"14,512","13,493",0.00,"15,418",N/A,N/A,
182,에스엘,"29,900",750,-2.45%,500,"14,413","48,203",15.03,"113,362",9.91,4.74,
183,아시아나항공,"19,350",100,-0.51%,"5,000","14,399","74,412",7.56,"374,049",-3.33,-43.83,
184,신풍제약,"26,850","2,300",-7.89%,500,"14,226","52,985",10.58,"1,380,819","4,475.00",1.72,
185,한국앤컴퍼니,"14,650",250,-1.68%,500,"13,908","94,935",9.59,"97,973",5.62,5.08,
186,TIGER 단기통안채,"100,495",40,-0.04%,0,"13,824","13,756",0.89,"2,360,732",N/A,N/A,
187,롯데렌탈,"37,000",100,+0.27%,"5,000","13,555","36,634",1.52,"61,658",12.83,6.73,
188,DL,"64,500","1,100",-1.68%,"5,000","13,517","20,956",11.98,"57,571",2.05,11.84,
189,현대두산인프라코어,"6,710",170,-2.47%,"1,000","13,248","197,435",10.36,"1,796,557",5.74,6.47,
190,ESR켄달스퀘어리츠,"6,210",70,+1.14%,"1,000","13,233","213,089",32.18,"242,132",163.42,1.14,
191,롯데리츠,"5,400",20,-0.37%,500,"13,120","242,969",9.61,"258,857",33.75,1.68,
192,코스모신소재,"43,550",400,-0.91%,"1,000","13,103","30,087",6.56,"313,017",55.83,7.16,
193,KODEX 2차전지산업,"22,080",545,-2.41%,0,"12,983","58,800",1.63,"1,580,678",N/A,N/A,
194,롯데칠성,"139,000",0,0.00%,500,"12,898","9,279",9.13,"12,237",16.43,-1.00,
195,금호타이어,"4,365",105,-2.35%,"5,000","12,539","287,260",4.15,"273,329",-17.46,-6.74,
196,TIGER 미국테크TOP10 INDXX,"12,430",320,-2.51%,0,"12,474","100,350",0.00,"2,452,522",N/A,N/A,
197,HDC현대산업개발,"18,900","1,700",-8.25%,"5,000","12,456","65,907",9.79,"4,422,570",4.11,8.85,
198,태광산업,"1,107,000","17,000",-1.51%,"5,000","12,325","1,113",5.88,"1,209",4.86,3.26,
199,F&F홀딩스,"31,400",400,-1.26%,500,"12,282","39,114",0.71,"38,598",0.26,16.59,
200,TIGER 미국S&P500,"13,970",155,-1.10%,0,"12,252","87,700",0.00,"2,350,935",N/A,N/A,
